iter	Passed	Remaining
457	808	956
458	809	954
459	810	951
460	811	948
461	811	945
462	812	942
463	813	939
464	813	936
465	814	933
466	816	932
467	818	930
468	818	927
469	819	924
470	820	921
471	821	918
472	822	916
473	823	913
474	824	910
475	825	908
476	825	905
477	826	902
478	831	904
479	833	902
480	838	905
481	840	903
482	842	901
483	843	899
484	844	896
485	845	894
486	847	892
487	847	889
488	848	886
489	849	884
490	850	881
491	858	886
492	859	883
493	860	881
494	861	878
495	868	882
496	869	880
497	870	877
498	871	874
499	872	872
500	879	876
501	880	873
502	881	870
503	882	868
504	883	865
505	884	863
506	885	861
507	886	858
508	887	856
509	888	853
510	888	850
511	889	847
512	890	845
513	892	844
514	894	842
515	900	844
516	901	842
517	902	839
518	903	837
519	904	834
520	909	836
521	914	837
522	915	834
523	916	832
524	920	832
525	922	830
526	924	830
527	925	827
528	926	825
529	927	822
530	932	823
531	932	820
532	933	818
533	937	818
534	938	815
535	939	813
536	940	811
537	941	808
538	942	805
539	946	806
540	947	803
541	948	801
542	950	799
543	951	797
544	952	795
545	957	796
546	958	793
547	959	791
548	961	789
549	961	787
550	962	784
551	966	784
552	967	782
553	969	780
554	1058	849
555	1059	846
556	1090	866
557	1091	864
558	1092	861
559	1093	858
560	1094	856
561	1096	854
562	1097	851
563	1098	849
564	1099	846
565	1100	843
566	1103	842
567	1104	840
568	1105	837
569	1106	834
570	1109	833
571	1110	830
572	1111	828
573	1112	825
574	1113	822
575	1114	820
576	1115	817
577	1116	815
578	1117	812
579	1120	811
580	1121	808
581	1122	806
582	1123	803
583	1125	801
584	1127	799
585	1128	797
586	1129	794
587	1130	792
588	1140	795
589	1145	795
590	1147	794
591	1148	791
592	1150	789
593	1151	787
594	1152	784
595	1154	782
596	1158	781
597	1158	779
598	1159	776
599	1191	794
600	1192	791
601	1194	789
602	1195	786
603	1197	785
604	1198	782
605	1199	780
606	1205	780
607	1205	777
608	1206	774
609	1207	771
610	1207	769
611	1210	767
612	1210	764
613	1211	761
614	1212	759
615	1213	756
616	1214	753
617	1217	752
618	1218	750
619	1219	747
620	1220	744
621	1221	742
622	1222	739
623	1223	737
624	1224	734
625	1225	732
626	1229	731
627	1230	728
628	1231	726
629	1231	723
630	1232	720
631	1234	718
632	1235	716
633	1236	713
634	1241	713
635	1242	711
636	1243	708
637	1244	705
638	1244	703
639	1248	702
640	1249	699
641	1256	700
642	1257	697
643	1257	695
644	1261	694
645	1262	691
646	1263	689
647	1263	686
648	1264	683
649	1265	681
650	1266	679
651	1267	676
652	1268	674
653	1269	671
654	1272	670
655	1273	667
656	1274	665
657	1275	662
658	1275	660
659	1277	658
660	1278	655
661	1279	653
662	1279	650
663	1280	648
664	1281	645
665	1282	642
666	1283	641
667	1284	638
668	1285	635
669	1285	633
670	1286	630
671	1286	628
672	1287	625
673	1288	623
674	1290	621
675	1291	618
676	1291	616
677	1292	613
678	1293	611
679	1293	608
680	1295	606
681	1296	604
682	1297	602
683	1298	599
684	1298	597
685	1299	594
686	1300	592
687	1302	590
688	1302	588
689	1303	585
690	1304	583
691	1304	580
692	1305	578
693	1305	575
694	1306	573
695	1308	571
696	1309	569
697	1310	566
698	1310	564
699	1311	562
700	1312	559
701	1314	557
702	1315	555
703	1315	553
704	1316	550
705	1316	548
706	1317	545
707	1318	543
708	1318	541
709	1321	539
710	1322	537
711	1323	535
712	1324	532
713	1324	530
714	1325	528
715	1326	526
716	1327	523
717	1328	521
718	1328	519
719	1329	517
720	1330	514
721	1333	513
722	1334	511
723	1335	509
724	1335	506
725	1336	504
726	1337	502
727	1338	499
728	1342	499
729	1344	497
730	1346	495
731	1346	493
732	1348	491
733	1349	489
734	1350	486
735	1352	484
736	1353	482
737	1355	481
738	1357	479
739	1358	477
740	1358	474
741	1359	472
742	1361	471
743	1363	468
744	1364	467
745	1365	465
746	1370	464
747	1370	461
748	1371	459
749	1372	457
750	1375	456
751	1376	453
752	1376	451
753	1377	449
754	1378	447
755	1381	445
756	1382	443
757	1388	443
758	1389	441
759	1395	440
760	1396	438
761	1397	436
762	1398	434
763	1400	432
764	1400	430
765	1401	428
766	1402	425
767	1402	423
768	1404	422
769	1406	420
770	1407	418
771	1408	415
772	1408	413
773	1409	411
774	1412	409
775	1412	407
776	1413	405
777	1413	403
778	1414	401
779	1414	399
780	1418	397
781	1418	395
782	1419	393
783	1420	391
784	1420	389
785	1422	387
786	1423	385
787	1424	383
788	1425	381
789	1425	379
790	1426	376
791	1426	374
792	1429	373
793	1429	371
794	1430	368
795	1431	366
796	1432	364
797	1434	363
798	1435	361
799	1435	358
800	1436	356
801	1436	354
802	1437	352
803	1438	350
804	1440	348
805	1441	346
806	1442	344
807	1442	342
808	1443	340
809	1443	338
810	1445	336
811	1446	334
812	1447	332
813	1448	330
814	1449	329
815	1453	327
816	1454	325
817	1455	323
818	1455	321
819	1456	319
820	1458	317
821	1459	316
822	1461	314
823	1462	312
824	1462	310
825	1468	309
826	1468	307
827	1469	305
828	1471	303
829	1472	301
830	1472	299
831	1473	297
832	1474	295
833	1474	293
834	1475	291
835	1477	289
836	1478	287
837	1478	285
838	1479	283
839	1480	281
840	1480	279
841	1481	277
842	1482	276
843	1483	274
844	1484	272
845	1484	270
846	1485	268
847	1485	266
848	1486	264
849	1486	262
850	1487	260
851	1488	258
852	1490	256
853	1491	254
854	1493	253
855	1493	251
856	1497	249
857	1498	248
858	1499	246
859	1499	244
860	1500	242
861	1502	240
862	1503	238
863	1503	236
864	1504	234
865	1505	232
866	1505	230
867	1506	229
868	1508	227
869	1509	225
870	1510	223
871	1510	221
872	1511	219
873	1511	217
874	1512	216
875	1515	214
876	1516	212
877	1517	210
878	1517	208
879	1518	207
880	1519	205
881	1520	203
882	1521	201
883	1523	199
884	1523	198
885	1526	196
886	1528	194
887	1529	192
888	1530	191
889	1531	189
890	1533	187
891	1533	185
892	1534	183
893	1534	181
894	1535	180
895	1535	178
896	1536	176
897	1538	174
898	1539	172
899	1539	171
900	1540	169
901	1541	167
902	1541	165
903	1542	163
904	1543	162
905	1544	160
906	1545	158
907	1546	156
908	1546	154
909	1547	153
910	1548	151
911	1549	149
912	1551	147
913	1551	146
914	1552	144
915	1552	142
916	1553	140
917	1554	138
918	1555	137
